date,open,close,high,low,volume
2017-08-03,1.015,0.999,1.022,0.999,2528154.28
2017-08-04,1.0,0.999,1.005,0.997,129093.1
2017-08-07,0.999,0.995,1.0,0.989,80293.68
2017-08-08,0.994,0.993,0.997,0.991,49000.88
2017-08-09,0.997,0.98,0.997,0.978,55734.0
2017-08-10,0.98,0.976,0.984,0.97,70530.53
2017-08-11,0.97,0.963,0.972,0.954,62864.34
2017-08-14,0.956,0.964,0.968,0.953,53789.67
2017-08-15,0.964,0.973,0.981,0.962,42921.59
2017-08-16,0.97,0.968,0.97,0.963,16429.03
2017-08-17,0.967,0.969,0.969,0.964,25952.0
2017-08-18,0.962,0.97,0.974,0.962,26708.14
2017-08-21,0.97,0.97,0.971,0.965,23677.27
2017-08-22,0.968,0.975,0.975,0.966,33074.06
2017-08-23,0.975,0.987,0.994,0.975,92123.03
2017-08-24,0.989,0.989,1.0,0.987,102118.34
2017-08-25,0.994,1.018,1.02,0.993,862925.28
2017-08-28,1.02,1.026,1.039,1.019,777125.6
2017-08-29,1.023,1.026,1.028,1.018,181225.0
2017-08-30,1.026,1.017,1.036,1.015,168203.0
2017-08-31,1.018,1.009,1.019,1.001,264945.0
2017-09-01,1.008,1.004,1.013,0.999,160435.0
2017-09-04,1.002,1.01,1.01,0.996,199197.0
2017-09-05,1.01,1.018,1.022,1.0,157958.0
2017-09-06,1.013,1.012,1.016,1.009,58849.0
2017-09-07,1.012,1.002,1.014,1.002,70107.16
2017-09-08,1.001,1.003,1.009,1.0,62172.0
2017-09-11,1.004,1.003,1.012,1.002,87592.16
2017-09-12,1.004,1.004,1.005,0.998,125543.16
2017-09-13,1.003,1.002,1.003,0.998,62013.0
2017-09-14,1.0,0.992,1.001,0.991,115423.0
2017-09-15,0.99,0.991,0.992,0.986,94257.0
2017-09-18,0.988,0.991,0.994,0.988,84705.0
2017-09-19,0.989,0.988,0.993,0.983,155125.0
2017-09-20,0.989,0.989,0.992,0.985,75296.0
2017-09-21,0.99,0.994,0.999,0.987,79639.0
2017-09-22,0.992,0.994,1.001,0.992,72293.0
2017-09-25,0.991,0.997,0.998,0.989,86116.0
2017-09-26,0.996,0.993,0.996,0.992,64101.82
2017-09-27,0.992,0.986,0.992,0.984,185703.0
2017-09-28,0.985,0.982,0.987,0.98,94060.1
2017-09-29,0.981,0.987,0.988,0.981,83278.1
2017-10-09,1.018,1.0,1.022,0.996,221242.46
2017-10-10,0.999,1.002,1.003,0.993,103971.46
2017-10-11,1.001,1.004,1.009,1.0,63929.46
2017-10-12,1.005,1.005,1.008,1.003,102484.99
2017-10-13,1.005,1.003,1.006,1.002,38624.25
2017-10-16,1.003,1.009,1.011,1.001,155295.5
2017-10-17,1.005,1.008,1.012,1.005,59833.0
2017-10-18,1.007,1.012,1.013,1.005,80493.3
2017-10-19,1.011,1.011,1.014,1.009,121842.35
2017-10-20,1.01,1.008,1.01,1.006,30161.9
2017-10-23,1.008,1.001,1.008,1.0,102411.0
2017-10-24,1.0,1.003,1.005,0.999,47586.0
2017-10-25,1.002,1.002,1.002,0.999,25925.0
2017-10-26,1.001,0.994,1.001,0.992,66293.0
2017-10-27,0.995,1.01,1.01,0.994,162558.42
2017-10-30,1.009,1.006,1.011,1.004,50087.16
2017-10-31,1.004,0.999,1.004,0.998,34059.16
2017-11-01,0.999,0.993,1.0,0.99,100456.0
2017-11-02,0.992,0.991,0.993,0.985,68539.0
2017-11-03,0.99,0.993,0.993,0.981,46525.0
2017-11-06,0.99,0.984,0.99,0.981,42635.0
2017-11-07,0.983,0.995,0.999,0.983,66209.0
2017-11-08,0.995,0.996,1.004,0.994,83374.0
2017-11-09,0.997,0.996,1.003,0.994,37240.0
2017-11-10,0.999,0.991,0.999,0.986,93543.0
2017-11-13,0.989,1.005,1.014,0.989,199039.0
2017-11-14,1.004,1.0,1.006,0.999,54614.0
2017-11-15,1.0,1.0,1.002,0.996,33943.0
2017-11-16,1.0,0.993,1.0,0.991,99271.0
2017-11-17,0.993,1.021,1.022,0.993,275199.46
2017-11-20,1.013,1.037,1.037,1.013,198579.71
2017-11-21,1.027,1.043,1.055,1.027,132985.71
2017-11-22,1.046,1.065,1.077,1.046,124432.55
2017-11-23,1.064,1.048,1.076,1.043,144769.66
2017-11-24,1.05,1.057,1.064,1.044,65299.55
2017-11-27,1.057,1.045,1.057,1.033,152290.38
2017-11-28,1.042,1.033,1.045,1.028,80983.0
2017-11-29,1.035,1.033,1.039,1.023,59517.0
2017-11-30,1.03,1.03,1.037,1.024,70940.0
2017-12-01,1.025,1.025,1.034,1.018,88227.0
2017-12-04,1.022,1.026,1.028,1.019,53180.25
2017-12-05,1.026,1.043,1.049,1.025,293255.31
2017-12-06,1.04,1.032,1.04,1.024,58503.31
2017-12-07,1.03,1.023,1.03,1.014,77523.0
2017-12-08,1.022,1.022,1.024,1.017,146029.63
2017-12-11,1.022,1.025,1.026,1.012,84559.0
2017-12-12,1.023,1.012,1.024,1.011,47010.0
2017-12-13,1.012,1.015,1.016,1.007,48030.47
2017-12-14,1.014,1.012,1.021,1.01,60806.11
2017-12-15,1.012,0.999,1.012,0.998,75460.64
2017-12-18,0.997,1.004,1.006,0.997,68850.47
2017-12-19,1.001,1.018,1.018,1.001,59925.0
2017-12-20,1.015,1.015,1.02,1.012,22730.0
2017-12-21,1.015,1.019,1.023,1.013,50969.0
2017-12-22,1.02,1.014,1.02,1.013,28339.64
2017-12-25,1.014,1.011,1.022,1.011,57152.0
2017-12-26,1.015,1.022,1.023,1.01,52730.91
2017-12-27,1.024,1.013,1.025,1.007,41408.55
2017-12-28,1.011,1.012,1.014,1.007,35236.0
2017-12-29,1.012,1.017,1.017,1.01,50184.0
2018-01-02,1.017,1.029,1.039,1.017,111801.0
2018-01-03,1.029,1.031,1.039,1.027,98268.09
2018-01-04,1.032,1.03,1.035,1.027,62088.46
2018-01-05,1.032,1.033,1.035,1.027,85758.21
2018-01-08,1.033,1.03,1.033,1.026,146759.0
2018-01-09,1.029,1.029,1.032,1.026,108241.0
2018-01-10,1.029,1.053,1.054,1.027,172010.69
2018-01-11,1.052,1.053,1.061,1.048,127088.0
2018-01-12,1.053,1.058,1.065,1.053,86305.0
2018-01-15,1.054,1.078,1.085,1.054,131051.17
2018-01-16,1.079,1.082,1.083,1.07,113875.64
2018-01-17,1.083,1.092,1.119,1.083,236092.33
2018-01-18,1.098,1.114,1.115,1.097,342813.81
2018-01-19,1.119,1.13,1.147,1.116,339312.76
2018-01-22,1.119,1.115,1.14,1.11,265598.96
2018-01-23,1.115,1.15,1.15,1.115,410971.13
2018-01-24,1.154,1.155,1.178,1.147,371407.0
2018-01-25,1.15,1.146,1.152,1.128,262823.0
2018-01-26,1.146,1.15,1.166,1.142,261625.77
2018-01-29,1.148,1.142,1.167,1.136,280073.34
2018-01-30,1.136,1.12,1.142,1.12,163659.0
2018-01-31,1.12,1.141,1.141,1.111,167430.93
2018-02-01,1.142,1.153,1.156,1.136,297140.94
2018-02-02,1.152,1.146,1.152,1.127,200641.8
2018-02-05,1.139,1.187,1.188,1.132,378230.4
2018-02-06,1.168,1.166,1.179,1.152,600820.4
2018-02-07,1.179,1.132,1.196,1.126,605332.4
2018-02-08,1.12,1.092,1.124,1.076,409011.09
2018-02-09,1.058,1.058,1.071,1.019,534137.4
2018-02-12,1.05,1.045,1.057,1.035,478861.49
2018-02-13,1.054,1.061,1.073,1.052,198290.0
2018-02-14,1.058,1.061,1.065,1.052,158647.0
2018-02-22,1.079,1.085,1.088,1.077,218183.45
2018-02-23,1.082,1.093,1.094,1.08,194898.0
2018-02-26,1.095,1.093,1.105,1.086,153660.0
2018-02-27,1.093,1.072,1.095,1.065,235252.0
2018-02-28,1.06,1.056,1.063,1.051,212369.0
2018-03-01,1.053,1.059,1.065,1.05,157671.0
2018-03-02,1.055,1.05,1.057,1.045,154190.0
2018-03-05,1.05,1.048,1.058,1.043,132058.0
2018-03-06,1.052,1.052,1.056,1.039,285114.74
2018-03-07,1.058,1.057,1.071,1.056,387824.74
2018-03-08,1.058,1.057,1.06,1.048,152027.74
2018-03-09,1.058,1.059,1.063,1.054,173298.0
2018-03-12,1.061,1.055,1.066,1.054,293930.0
2018-03-13,1.055,1.053,1.065,1.052,297483.0
2018-03-14,1.052,1.045,1.053,1.04,193348.0
2018-03-15,1.043,1.044,1.047,1.041,139367.0
2018-03-16,1.045,1.034,1.045,1.033,157390.0
2018-03-19,1.033,1.037,1.037,1.028,171045.0
2018-03-20,1.033,1.042,1.044,1.031,208183.0
2018-03-21,1.045,1.044,1.053,1.04,240988.0
2018-03-22,1.043,1.037,1.047,1.032,172471.0
2018-03-23,1.015,1.011,1.02,1.001,425550.0
2018-03-26,1.003,0.989,1.006,0.982,224535.0
2018-03-27,0.998,0.986,1.002,0.981,274564.0
2018-03-28,0.985,0.986,1.0,0.98,256782.01
2018-03-29,0.988,1.002,1.009,0.976,402809.22
2018-03-30,1.001,0.994,1.003,0.992,214113.0
2018-04-02,0.993,0.986,1.001,0.986,230477.0
2018-04-03,0.98,0.975,0.982,0.974,326273.0
2018-04-04,0.978,0.976,0.985,0.975,249141.0
2018-04-09,0.975,0.978,0.982,0.973,187266.0
2018-04-10,0.978,1.006,1.006,0.976,544912.92
2018-04-11,1.005,1.017,1.026,1.004,505440.2
2018-04-12,1.012,1.002,1.016,1.001,163093.0
2018-04-13,1.005,0.996,1.011,0.995,149610.2
2018-04-16,0.991,0.967,0.996,0.966,541224.0
2018-04-17,0.971,0.963,0.975,0.961,297383.0
2018-04-18,0.976,0.972,0.98,0.965,502449.0
2018-04-19,0.968,0.976,0.983,0.968,414090.0
2018-04-20,0.975,0.966,0.975,0.961,225984.0
2018-04-23,0.966,0.971,0.975,0.963,386326.0
2018-04-24,0.974,0.989,0.996,0.973,475087.0
2018-04-25,0.985,0.979,0.987,0.977,278828.0
2018-04-26,0.98,0.974,0.984,0.968,350209.0
2018-04-27,0.973,0.977,0.978,0.965,315847.0
2018-05-02,0.986,0.977,0.986,0.973,251220.0
2018-05-03,0.977,0.975,0.977,0.965,246177.0
2018-05-04,0.972,0.966,0.973,0.965,225735.64
2018-05-07,0.966,0.972,0.972,0.962,373915.08
2018-05-08,0.972,0.984,0.988,0.971,501570.08
2018-05-09,0.983,0.985,0.985,0.978,180700.0
2018-05-10,0.982,0.986,0.991,0.98,182096.12
2018-05-11,0.987,0.989,0.993,0.983,365171.0
2018-05-14,0.991,0.997,1.004,0.991,329669.0
2018-05-15,0.999,0.994,0.999,0.989,244322.0
2018-05-16,0.991,0.983,0.991,0.981,273104.12
2018-05-17,0.981,0.979,0.984,0.976,177860.0
2018-05-18,0.976,0.99,0.99,0.976,295094.0
2018-05-21,0.993,0.991,0.999,0.989,218326.22
2018-05-22,0.991,0.985,0.991,0.98,247083.0
2018-05-23,0.983,0.974,0.983,0.973,187716.0
2018-05-24,0.972,0.968,0.975,0.966,242081.0
2018-05-25,0.97,0.966,0.971,0.963,175364.0
2018-05-28,0.967,0.964,0.967,0.96,169832.0
2018-05-29,0.964,0.96,0.964,0.951,385420.0
2018-05-30,0.953,0.943,0.953,0.942,263269.0
2018-05-31,0.947,0.951,0.954,0.943,233866.0
2018-06-01,0.95,0.951,0.956,0.946,135484.0
2018-06-04,0.953,0.96,0.961,0.951,261582.0
2018-06-05,0.953,0.959,0.959,0.951,307010.0
2018-06-06,0.958,0.949,0.958,0.948,468020.67
2018-06-07,0.951,0.954,0.958,0.95,427949.0
2018-06-08,0.952,0.938,0.952,0.935,437763.0
2018-06-11,0.937,0.936,0.937,0.929,448187.0
2018-06-12,0.937,0.938,0.94,0.932,215405.89
2018-06-13,0.937,0.934,0.938,0.931,170442.0
2018-06-14,0.931,0.934,0.939,0.93,211871.12
2018-06-15,0.934,0.943,0.945,0.933,380509.0
2018-06-19,0.937,0.933,0.942,0.924,502294.0
2018-06-20,0.926,0.927,0.93,0.921,214068.0
2018-06-21,0.929,0.924,0.934,0.922,294032.0
2018-06-22,0.92,0.926,0.926,0.918,145615.0
2018-06-25,0.93,0.907,0.931,0.907,257832.31
2018-06-26,0.903,0.891,0.904,0.88,411697.0
2018-06-27,0.89,0.878,0.892,0.873,427773.0
2018-06-28,0.875,0.872,0.882,0.867,259052.94
2018-06-29,0.874,0.885,0.886,0.874,311957.0
