date,open,close,high,low,volume
2025-04-08,0.307,0.311,0.319,0.3,212054.0
2025-04-09,0.298,0.324,0.331,0.298,284011.0
2025-04-10,0.332,0.33,0.335,0.327,286281.0
2025-04-11,0.327,0.339,0.345,0.326,2736012.0
2025-04-14,0.343,0.337,0.343,0.33,465960.0
2025-04-15,0.337,0.333,0.337,0.33,192498.0
2025-04-16,0.332,0.332,0.336,0.328,75152.0
2025-04-17,0.331,0.333,0.338,0.331,212757.0
2025-04-18,0.333,0.329,0.333,0.327,130429.0
2025-04-21,0.328,0.331,0.332,0.327,65402.0
2025-04-22,0.332,0.335,0.337,0.329,212905.0
2025-04-23,0.336,0.332,0.338,0.331,113086.0
2025-04-24,0.335,0.327,0.335,0.326,201263.0
2025-04-25,0.327,0.329,0.33,0.322,214260.0
2025-04-28,0.329,0.328,0.331,0.328,122639.0
2025-04-29,0.328,0.331,0.331,0.326,160374.0
2025-04-30,0.331,0.329,0.331,0.327,169129.0
2025-05-06,0.329,0.337,0.337,0.329,448874.0
2025-05-07,0.34,0.337,0.343,0.334,378987.0
2025-05-08,0.336,0.337,0.339,0.333,196658.0
2025-05-09,0.338,0.328,0.338,0.327,303360.0
2025-05-12,0.328,0.33,0.331,0.327,159399.0
2025-05-13,0.334,0.328,0.334,0.327,195871.0
2025-05-14,0.328,0.329,0.331,0.327,244241.0
2025-05-15,0.329,0.324,0.329,0.323,312839.0
2025-05-16,0.325,0.322,0.325,0.322,250339.0
2025-05-19,0.322,0.326,0.326,0.322,246631.0
2025-05-20,0.326,0.325,0.327,0.324,228787.0
2025-05-21,0.326,0.324,0.328,0.323,253270.0
2025-05-22,0.324,0.322,0.327,0.321,275629.0
2025-05-23,0.322,0.318,0.323,0.317,339899.0
2025-05-26,0.32,0.321,0.322,0.319,262770.0
2025-05-27,0.32,0.319,0.321,0.317,213631.0
2025-05-28,0.319,0.316,0.321,0.315,305054.0
2025-05-29,0.316,0.323,0.323,0.316,328747.0
2025-05-30,0.321,0.318,0.321,0.317,256638.0
2025-06-03,0.316,0.325,0.327,0.316,350108.0
2025-06-04,0.324,0.323,0.324,0.322,246873.0
2025-06-05,0.323,0.326,0.327,0.321,274736.0
2025-06-06,0.326,0.327,0.328,0.324,231769.0
2025-06-09,0.326,0.328,0.328,0.325,270995.0
2025-06-10,0.328,0.319,0.328,0.318,337632.0
2025-06-11,0.319,0.32,0.324,0.319,259859.0
2025-06-12,0.32,0.317,0.32,0.316,278400.0
2025-06-13,0.317,0.319,0.321,0.316,285354.0
2025-06-16,0.319,0.319,0.319,0.317,252111.0
2025-06-17,0.319,0.316,0.319,0.315,278142.0
2025-06-18,0.316,0.322,0.324,0.316,436198.0
2025-06-19,0.324,0.325,0.327,0.321,427471.0
2025-06-20,0.325,0.326,0.329,0.325,339898.0
2025-06-23,0.323,0.333,0.337,0.322,662691.0
2025-06-24,0.333,0.336,0.336,0.331,423857.0
2025-06-25,0.336,0.338,0.338,0.332,471456.0
2025-06-26,0.338,0.334,0.34,0.334,401589.0
2025-06-27,0.341,0.337,0.341,0.335,595466.0
2025-06-30,0.339,0.343,0.344,0.339,500214.0
2025-07-01,0.345,0.345,0.347,0.342,531419.0
2025-07-02,0.345,0.337,0.345,0.336,458732.0
2025-07-03,0.339,0.336,0.34,0.335,374577.0
2025-07-04,0.336,0.339,0.346,0.332,601715.0
2025-07-07,0.336,0.34,0.343,0.336,370541.0
2025-07-08,0.341,0.343,0.344,0.341,371060.0
2025-07-09,0.343,0.341,0.344,0.34,280383.0
2025-07-10,0.341,0.34,0.342,0.338,330614.0
2025-07-11,0.34,0.343,0.343,0.338,391519.0
2025-07-14,0.342,0.34,0.343,0.339,290395.0
2025-07-15,0.34,0.337,0.342,0.335,390920.0
2025-07-16,0.336,0.337,0.341,0.336,334063.0
2025-07-17,0.336,0.338,0.338,0.334,324038.0
2025-07-18,0.34,0.341,0.343,0.338,389889.0
2025-07-21,0.339,0.34,0.341,0.338,268742.0
2025-07-22,0.34,0.344,0.346,0.339,519681.0
2025-07-23,0.345,0.354,0.355,0.343,814871.0
2025-07-24,0.354,0.359,0.36,0.353,1609140.0
2025-07-25,0.359,0.363,0.363,0.356,633473.0
2025-07-28,0.363,0.36,0.364,0.359,472422.0
2025-07-29,0.36,0.367,0.367,0.358,526642.0
2025-07-30,0.367,0.361,0.367,0.358,494364.0
