date,open,close,high,low,volume
2021-03-19,0.975,0.979,0.995,0.975,625829.05
2021-03-22,0.982,1.0,1.002,0.98,241452.28
2021-03-23,1.0,1.009,1.013,0.995,468633.11
2021-03-24,1.009,1.006,1.018,1.001,205466.63
2021-03-25,1.006,1.037,1.048,0.999,357998.29
2021-03-26,1.037,1.041,1.048,1.03,192792.7
2021-03-29,1.041,1.031,1.055,1.028,152296.51
2021-03-30,1.021,1.026,1.052,1.021,88277.34
2021-03-31,1.029,1.031,1.042,1.028,139224.61
2021-04-01,1.038,1.033,1.038,1.024,101839.44
2021-04-02,1.031,1.041,1.052,1.031,68271.74
2021-04-06,1.043,1.045,1.05,1.038,88878.72
2021-04-07,1.036,1.035,1.042,1.027,47216.44
2021-04-08,1.035,1.028,1.035,1.026,42270.38
2021-04-09,1.034,1.023,1.034,1.018,77555.0
2021-04-12,1.021,1.011,1.025,1.006,58584.22
2021-04-13,1.015,1.02,1.026,1.008,35741.26
2021-04-14,1.028,1.033,1.034,1.017,54575.49
2021-04-15,1.032,1.033,1.046,1.025,70586.52
2021-04-16,1.033,1.057,1.059,1.032,134846.72
2021-04-19,1.057,1.076,1.079,1.048,78212.15
2021-04-20,1.078,1.068,1.087,1.067,74313.98
2021-04-21,1.083,1.067,1.083,1.06,41674.22
2021-04-22,1.067,1.08,1.082,1.066,52461.22
2021-04-23,1.08,1.069,1.08,1.065,55382.35
2021-04-26,1.074,1.052,1.077,1.049,35202.47
2021-04-27,1.051,1.054,1.054,1.037,43647.14
2021-04-28,1.056,1.048,1.056,1.038,36166.15
2021-04-29,1.047,1.051,1.054,1.044,29036.19
2021-04-30,1.05,1.042,1.051,1.036,42220.05
2021-05-06,1.033,1.038,1.048,1.024,23848.01
2021-05-07,1.038,1.033,1.047,1.032,24513.06
2021-05-10,1.045,1.055,1.06,1.035,53324.2
2021-05-11,1.056,1.057,1.064,1.044,86210.23
2021-05-12,1.057,1.062,1.064,1.044,46790.18
2021-05-13,1.051,1.06,1.073,1.048,25934.08
2021-05-14,1.065,1.104,1.105,1.061,95130.44
2021-05-17,1.104,1.094,1.105,1.091,46636.25
2021-05-18,1.09,1.098,1.105,1.088,39714.3
2021-05-19,1.099,1.091,1.101,1.088,19585.47
2021-05-20,1.088,1.092,1.097,1.08,24105.09
2021-05-21,1.092,1.074,1.093,1.073,20349.02
2021-05-24,1.078,1.099,1.107,1.078,57811.07
2021-05-25,1.099,1.135,1.139,1.096,44150.6
2021-05-26,1.15,1.133,1.154,1.129,79983.14
2021-05-27,1.12,1.135,1.158,1.12,39180.57
2021-05-28,1.134,1.13,1.138,1.125,28310.22
2021-05-31,1.13,1.148,1.148,1.128,33613.82
2021-06-01,1.152,1.142,1.16,1.134,57960.18
2021-06-02,1.144,1.118,1.144,1.114,72157.01
2021-06-03,1.118,1.112,1.137,1.111,66035.01
2021-06-04,1.098,1.105,1.12,1.098,57959.01
2021-06-07,1.099,1.127,1.127,1.099,41068.1
2021-06-08,1.129,1.133,1.149,1.129,37811.2
2021-06-09,1.114,1.137,1.14,1.114,20900.28
2021-06-10,1.123,1.191,1.193,1.123,93179.98
2021-06-11,1.216,1.205,1.22,1.195,78405.02
2021-06-15,1.193,1.203,1.223,1.19,65743.06
2021-06-16,1.19,1.184,1.208,1.173,50321.04
2021-06-17,1.184,1.21,1.219,1.172,63029.2
2021-06-18,1.21,1.218,1.229,1.198,32519.03
2021-06-21,1.203,1.24,1.24,1.203,53030.22
2021-06-22,1.237,1.237,1.253,1.232,32626.46
2021-06-23,1.243,1.236,1.243,1.221,32583.0
2021-06-24,1.237,1.215,1.24,1.214,27982.16
