date,open,close,high,low,volume
2013-09-16,0.969,0.967,0.977,0.95,508465.92
2013-09-17,0.96,0.95,0.97,0.95,156473.3
2013-09-18,0.94,0.949,0.953,0.939,172485.32
2013-09-23,0.952,0.964,0.964,0.95,173902.02
2013-09-24,0.958,0.952,0.96,0.946,191595.41
2013-09-25,0.952,0.939,0.954,0.902,176422.6
2013-09-26,0.939,0.938,0.94,0.926,214432.44
2013-09-27,0.933,0.937,0.945,0.93,52183.19
2013-09-30,0.938,0.936,0.941,0.933,34094.72
2013-10-08,0.933,0.95,0.95,0.926,81348.6
2013-10-09,0.955,0.956,0.956,0.942,61313.82
2013-10-10,0.95,0.949,0.958,0.943,114953.44
2013-10-11,0.941,0.97,0.97,0.941,156958.47
2013-10-14,0.97,0.976,0.984,0.97,135921.25
2013-10-15,0.971,0.967,0.977,0.967,39210.8
2013-10-16,0.961,0.955,0.968,0.951,110956.44
2013-10-17,0.956,0.965,0.982,0.956,214586.96
2013-10-18,0.962,0.96,0.969,0.954,194570.11
2013-10-21,0.963,0.978,0.98,0.957,147306.84
2013-10-22,0.978,0.98,0.988,0.972,79315.41
2013-10-23,0.981,0.972,0.989,0.964,68805.0
2013-10-24,0.967,0.949,0.97,0.949,18584.65
2013-10-25,0.959,0.938,0.959,0.934,54617.24
2013-10-28,0.945,0.945,0.954,0.94,23901.27
2013-10-29,0.945,0.936,0.956,0.924,17638.13
2013-10-30,0.936,0.952,0.955,0.936,12125.28
2013-10-31,0.945,0.95,0.953,0.944,12553.29
2013-11-01,0.949,0.944,0.95,0.941,11967.4
2013-11-04,0.948,0.952,0.954,0.948,6102.21
2013-11-05,0.945,0.955,0.956,0.94,15617.18
2013-11-06,0.955,0.971,0.985,0.952,150311.62
2013-11-07,0.97,0.966,0.975,0.963,22199.4
2013-11-08,0.968,0.951,0.971,0.948,26156.03
2013-11-11,0.951,0.948,0.953,0.94,14341.01
2013-11-12,0.95,0.954,0.958,0.943,15225.92
2013-11-13,0.938,0.931,0.945,0.93,3583.5
2013-11-14,0.936,0.938,0.939,0.93,15951.04
2013-11-15,0.931,0.95,0.958,0.919,22347.61
2013-11-18,0.951,0.968,0.969,0.951,18817.53
2013-11-19,0.969,0.971,0.981,0.969,28751.21
2013-11-20,0.973,0.972,0.973,0.966,11334.49
2013-11-21,0.971,0.982,0.985,0.97,19671.48
2013-11-22,0.985,0.982,0.992,0.979,36500.11
2013-11-25,0.97,0.967,0.98,0.967,7094.66
2013-11-26,0.967,0.957,0.967,0.954,14770.03
2013-11-27,0.958,0.967,0.97,0.952,31465.26
2013-11-28,0.975,0.983,0.992,0.975,21754.64
2013-11-29,0.981,0.973,0.982,0.973,13343.55
2013-12-02,0.962,0.959,0.973,0.95,9385.12
2013-12-03,0.961,0.972,0.974,0.958,22142.52
2013-12-04,0.972,0.978,0.982,0.972,7143.31
2013-12-05,0.978,0.976,0.988,0.975,16293.78
2013-12-06,0.978,0.97,0.979,0.968,4745.03
2013-12-09,0.97,0.965,0.97,0.96,1665.05
2013-12-10,0.965,0.959,0.966,0.958,4342.01
2013-12-11,0.953,0.948,0.955,0.945,3801.61
2013-12-12,0.947,0.945,0.951,0.942,8117.43
2013-12-13,0.942,0.939,0.944,0.937,6610.06
2013-12-16,0.939,0.924,0.939,0.924,8504.0
2013-12-17,0.925,0.921,0.925,0.92,5766.01
2013-12-18,0.921,0.918,0.924,0.917,9966.0
2013-12-19,0.923,0.916,0.928,0.916,9590.05
2013-12-20,0.911,0.895,0.918,0.895,17487.1
2013-12-23,0.889,0.895,0.896,0.885,2365.0
2013-12-24,0.898,0.891,0.901,0.888,5855.1
2013-12-25,0.891,0.897,0.898,0.89,44565.3
2013-12-26,0.895,0.877,0.895,0.873,24499.44
2013-12-27,0.88,0.888,0.888,0.88,22829.02
2013-12-30,0.885,0.882,0.888,0.88,13585.31
2013-12-31,0.88,0.89,0.896,0.879,17509.02
