日期,开盘,收盘,最高,最低,成交量
2015-07-13,0.238,0.24,0.247,0.226,529343.67
2015-07-14,0.243,0.242,0.244,0.238,286423.46
2015-07-15,0.241,0.241,0.245,0.24,164837.91
2015-07-16,0.241,0.242,0.243,0.24,109387.13
2015-07-17,0.242,0.247,0.25,0.242,64955.88
2015-07-20,0.247,0.248,0.249,0.245,56197.49
2015-07-21,0.247,0.249,0.249,0.247,162174.89
2015-07-22,0.248,0.251,0.251,0.248,158205.28
2015-07-23,0.251,0.252,0.252,0.25,233148.53
2015-07-24,0.25,0.252,0.253,0.25,80400.16
2015-07-27,0.25,0.248,0.25,0.246,136623.68
2015-07-28,0.248,0.245,0.248,0.238,16708.35
2015-07-29,0.245,0.247,0.248,0.245,29211.02
2015-07-30,0.248,0.247,0.248,0.247,5740.12
2015-07-31,0.247,0.246,0.25,0.246,19368.61
2015-08-03,0.249,0.248,0.249,0.245,54626.92
2015-08-04,0.247,0.247,0.248,0.247,4801.16
2015-08-05,0.247,0.247,0.248,0.246,12214.29
2015-08-06,0.247,0.248,0.249,0.247,5978.3
2015-08-07,0.246,0.245,0.247,0.245,11569.02
2015-08-10,0.245,0.244,0.245,0.243,10425.35
2015-08-11,0.246,0.251,0.253,0.246,59322.51
2015-08-12,0.249,0.248,0.253,0.247,45510.26
2015-08-13,0.249,0.25,0.253,0.249,50849.8
2015-08-14,0.248,0.25,0.253,0.248,32417.2
2015-08-17,0.25,0.248,0.25,0.248,6375.05
2015-08-18,0.249,0.25,0.251,0.249,22365.25
2015-08-19,0.249,0.249,0.249,0.247,6056.1
2015-08-20,0.247,0.247,0.247,0.245,17570.13
2015-08-21,0.242,0.236,0.242,0.236,17352.13
2015-08-24,0.225,0.216,0.228,0.214,28199.75
2015-08-25,0.208,0.214,0.22,0.197,46238.23
2015-08-26,0.214,0.215,0.22,0.211,23316.68
2015-08-27,0.224,0.225,0.225,0.223,2963.04
2015-08-28,0.23,0.23,0.231,0.229,13400.92
2015-08-31,0.23,0.232,0.234,0.23,10851.63
2015-09-01,0.229,0.227,0.231,0.226,14922.0
2015-09-02,0.22,0.225,0.225,0.22,3287.0
2015-09-07,0.224,0.228,0.228,0.224,4063.03
2015-09-08,0.229,0.229,0.229,0.226,1973.0
2015-09-09,0.235,0.23,0.235,0.23,5606.0
2015-09-10,0.229,0.229,0.23,0.229,3730.0
2015-09-11,0.23,0.23,0.233,0.23,30593.84
2015-09-14,0.233,0.232,0.234,0.232,9373.8
2015-09-15,0.233,0.228,0.233,0.225,5904.0
2015-09-16,0.234,0.235,0.236,0.234,9844.38
2015-09-17,0.236,0.235,0.236,0.235,16790.01
2015-09-18,0.236,0.237,0.238,0.236,9210.12
2015-09-21,0.232,0.233,0.233,0.232,1665.0
2015-09-22,0.234,0.234,0.235,0.233,10817.08
2015-09-23,0.231,0.232,0.232,0.228,3104.0
2015-09-24,0.23,0.229,0.23,0.229,50111.04
2015-09-25,0.223,0.229,0.229,0.223,3094.36
2015-09-28,0.227,0.227,0.227,0.226,3522.0
2015-09-29,0.217,0.218,0.219,0.217,15249.12
